우선순위,시설유형,시설명,도로명주소,지번주소,위도,경도,관리주체,데이터일자
1,업무시설,수원시자원회수시설,경기도 수원시 영통구 영통로 383,경기도 수원시 영통구 영통동 962-3,37.257758,127.067627,공공,2021-11-30
2,업무시설,삼성SDS ICT 수원센터,경기도 수원시 영통구 삼성로168번길 10,경기도 수원시 영통구 매탄동 410-1,37.256921,127.058814,민간,2021-11-30
2,업무시설,동수원등기소,경기도 수원시 영통구 청명로 127,경기도 수원시 영통구 영통동 961-16,37.256476,127.073964,공공,2021-11-30
2,업무시설,경기도선거관리위원회,경기도 수원시 영통구 청명로 131,경기도 수원시 영통구 영통동 산961-3,37.256651,127.073557,공공,2021-11-30
1,업무시설,한국지역난방공사수원지사,경기도 수원시 영통구 매영로 293,경기도 수원시 영통구 영통동 961-13,37.255563,127.067442,공공,2021-11-30
2,업무시설,수원출입국관리사무소,경기도 수원시 영통구 반달로 39,경기도 수원시 영통구 영통동 1012-6,37.250891,127.076708,공공,2021-11-30
2,업무시설,동수원세무서,경기도 수원시 영통구 청명남로 13,경기도 수원시 영통구 영통동 999-1,37.251238,127.073661,공공,2021-11-30
1,업무시설,경기지방중소벤처기업청,경기도 수원시 영통구 반달로 87,경기도 수원시 영통구 영통동 1012-2,37.251411,127.078058,공공,2021-11-30
3,업무시설,코리아나화장품 본사,경기도 수원시 영통구 센트럴타운로 114-4,경기도 수원시 영통구 이의동 1322-7,37.293176,127.049801,민간,2021-11-30
2,업무시설,경기도시주택공사 본사,경기도 수원시 권선구 권중로 46,경기도 수원시 권선구 권선동 1246,37.253496,127.031555,공공,2021-11-30
2,업무시설,경기도시공사광교신도시사업단,경기도 수원시 영통구 광교로 164,경기도 수원시 영통구 이의동 1322-2,37.294287,127.049835,공공,2021-11-30
2,업무시설,수원시도시안전통합센터,경기도 수원시 영통구 대학4로 33,경기도 수원시 영통구 이의동 1246-1,37.299341,127.048132,공공,2021-11-30
2,업무시설,한국나노기술원,경기도 수원시 영통구 광교로 109,경기도 수원시 영통구 이의동 906-10,37.293091,127.041769,공공,2021-11-30
