인구이동_기점,인구이동_종점,0세_19세 일평균 외부유입 인구,20세_39세 일평균 외부유입 인구,40세_64세 일평균 외부유입 인구,65세 이상 일평균 외부유입 인구,남성_일평균 외부유입 인구,여성_일평균 외부유입 인구,2020년 1월_일평균 외부유입 인구,2020년 2월_일평균 외부유입 인구,2020년 3월_일평균 외부유입 인구,2020년 4월_일평균 외부유입 인구,2020년 5월_일평균 외부유입 인구,2020년 6월_일평균 외부유입 인구,2020년 7월_일평균 외부유입 인구,2020년 8월_일평균 외부유입 인구,2020년 9월_일평균 외부유입 인구,2020년 10월_일평균 외부유입 인구,2020년 11월_일평균 외부유입 인구,2020년 12월_일평균 외부유입 인구,주중_새벽(0시-6시)_일평균 외부유입 인구,주중_출근(7시-9시)_일평균 외부유입 인구,주중_주간(10시-17시)_일평균 외부유입 인구,주중_퇴근(18시-20시)_일평균 외부유입 인구,주중_야간(21시-23시)_일평균 외부유입 인구,주말_첨두시(11시-19시)_일평균 외부유입 인구,주말_비첨두시(20시-10시)_일평균 외부유입 인구,데이터기준일자
과천시,정자2동,0.76,28.58,72.25,0.98,47.24,55.33,65.9,57.88,105.03,84.66,105.72,98.61,126.95,75.52,131.73,139.65,141.98,94.87,10.89,18.78,72.77,5.68,6.84,37.36,32.98,2021-11-30
과천시,정자3동,14.48,48.34,128.01,1.98,70.9,121.9,196.51,184.6,216.1,186.94,191.43,210.97,215.8,152.55,183.48,220.21,216,139.37,13.06,32.5,145.48,17.53,15.55,49.4,64.48,2021-11-30
과천시,조원1동,10.06,162.13,152.11,18.91,146.66,196.56,370.26,338.56,302.53,346.95,327.52,333.44,361.54,333.82,350.58,398.95,387.16,268.44,30.94,77.76,229.88,31.02,30.45,84.57,115.44,2021-11-30
과천시,조원2동,1.94,35.84,43.59,13.83,47.83,47.36,102,91.9,70.68,123.64,104.11,82.97,72.44,83.39,170.42,106.94,70.33,65.38,8.31,15.13,47.86,12.32,12.38,34.63,58.52,2021-11-30
과천시,지동,0.43,16.4,62.49,2.79,21.42,60.69,61.13,66.24,69.56,90.29,68.08,62.82,58.84,56.18,73.54,130.07,160.22,88.55,5.39,13.04,56.79,7.32,3.69,21.62,49.32,2021-11-30
과천시,파장동,23.57,93.18,328.11,55.87,238.62,262.11,628.83,483.41,454.84,470.96,552.92,527.28,562.78,436.82,422.07,493.22,555.98,417.71,40.35,113.69,329.38,44,36.02,131.13,211.64,2021-11-30
과천시,평동,2.25,87.33,168.71,17.4,80.61,195.09,221.4,246.44,192.12,238.56,196.46,288.7,306.19,252.9,300.44,326.97,362.98,376.1,16.14,47.88,210.32,25.58,21.03,73.95,87.71,2021-11-30
과천시,행궁동,2.26,44.23,72.9,18.38,80.83,56.95,129.1,89.39,167,137.35,151.46,210.16,124.03,82.59,125.9,152.99,157.26,125.55,8.71,18.97,97.08,11.43,9.25,35.05,83.41,2021-11-30
과천시,호매실동,1.69,32.26,59.87,5.15,45.4,53.57,101.04,111.62,55.28,56.05,73.9,100.61,148.35,109.87,110.94,109.84,91.16,118.49,9.6,12.04,49.79,13.46,12.58,44.77,57.96,2021-11-30
과천시,화서1동,0.86,38.29,62.1,3.17,46.09,58.34,106.26,101.46,120.2,114.33,89.76,84.76,95.02,74.29,92.69,131.85,137.77,104.96,4.55,22.09,86.21,7.9,6.24,18.72,26.87,2021-11-30
과천시,화서2동,3.12,48.9,84.03,7.09,53.22,89.92,124.5,105.56,113.93,129.17,150.48,157.19,185.9,137.56,156.67,178.13,162.44,114.79,12.17,30.35,86.9,12.97,13.52,47.86,63.14,2021-11-30
광명시,고등동,5.8,64,99.51,7.92,48.42,128.81,233.06,192.98,144.73,132.09,134.65,188.67,180.77,187.66,153.82,186.54,235.28,157.5,20.07,32.76,107.97,14.08,13.57,70.81,78.17,2021-11-30
광명시,곡선동,3.31,103.63,118.83,3.35,82,147.13,188.58,155.47,162.95,262.45,254.08,166.01,235.72,205.85,185.14,303.24,321.85,303.99,34.3,36.58,114.81,19.12,23.47,117.46,113.77,2021-11-30
광명시,광교1동,66.56,374.6,373.27,40.17,320.77,533.83,1120.88,850.91,743.03,765.16,962.39,920.74,819.28,776.23,819.43,913.71,822.26,738.01,91.13,139.85,520.48,94.57,76.26,277.26,406.79,2021-11-30
광명시,광교2동,6.84,91.63,140.76,15.79,97.35,157.66,340.85,239.4,225.72,235.57,223.57,223.77,284.94,296.03,270.03,251.51,264.54,202.42,31.27,41.44,143.99,26.01,21.16,100.32,132.39,2021-11-30
광명시,구운동,23.75,193.59,301.49,23.56,186.67,355.72,690.46,613.7,506.32,612.34,480.09,451.12,432.92,517.99,512.49,672.69,616.59,407.31,65.52,85.38,278.84,50.46,51.06,263.54,306.88,2021-11-30
